ds,yhat,yhat_lower,yhat_upper
2024-09-27,7088.691177306104,6964.577790060601,7210.976682112607
2024-09-30,7089.489920086697,6957.947273332769,7212.372298065042
2024-10-01,7116.923665388477,6990.039402432813,7237.9268532565375
2024-10-02,7135.266070375178,7012.339059199924,7265.080460073826
2024-10-03,7143.5594434599125,7019.074945335067,7279.9634935157765
2024-10-04,7160.600238344402,7041.923751999873,7283.456847672288
2024-10-07,7161.3989814901615,7033.6436963269325,7277.61560332024
2024-10-08,7188.8327267918485,7075.439385409392,7308.72932392634
2024-10-09,7207.175131374653,7082.902042352488,7332.7432828010915
2024-10-10,7215.468504055495,7104.128219455006,7343.871483546669
2024-10-11,7232.509298536065,7105.294997222328,7359.4707059357
2024-10-14,7233.30804047013,7107.893816936869,7356.862999473882
2024-10-15,7260.741785367911,7136.3831701514855,7378.175658480522
2024-10-16,7279.084189950756,7153.062836976211,7400.336886060264
2024-10-17,7287.37756263161,7155.605940492178,7416.793124604666
2024-10-18,7298.7126574368185,7180.240974206886,7418.365383232332
2024-10-21,7282.394300344974,7160.637807360812,7401.8496013145905
2024-10-22,7304.122345567393,7189.471702880684,7429.1215702295285
2024-10-23,7316.759050474897,7191.334804135939,7438.5236437986
2024-10-24,7319.34672348046,7196.55119709717,7449.5701223737715
2024-10-25,7330.68181828565,7206.156029858323,7460.60809441213
2024-10-28,7284.556409634352,7158.135559499532,7395.995108185899
2024-10-29,7296.348771003632,7169.098092359839,7414.5814446441955
2024-10-30,7299.049792058049,7177.15313367318,7429.880682587273
2024-10-31,7291.701781210373,7168.923647883684,7409.106063944472
2024-11-01,7293.101192162424,7167.018129265468,7418.193801528837
2024-11-04,7246.975783511176,7120.337608350206,7371.856464467732
2024-11-05,7258.768141193174,7133.176239677481,7394.596791699079
2024-11-06,7261.469158560263,7146.779988141673,7388.99891841058
2024-11-07,7254.121144025344,7132.610963379276,7373.81111099304
2024-11-08,7255.520551290205,7141.594188047907,7380.615093178185
2024-11-11,7209.395131576968,7082.024291946691,7337.682609975701
2024-11-12,7221.187489258987,7094.33214619849,7351.382103064837
2024-11-13,7223.888506626108,7105.403069399379,7346.075681257805
2024-11-14,7216.984610277876,7088.492884674499,7347.722154650047
2024-11-15,7218.828135729327,7103.251120215178,7339.321700479423
2024-11-18,7174.035070576043,7047.089775137214,7309.828499154127
2024-11-19,7186.271546444705,7047.503330419557,7305.085558100201
2024-11-20,7189.416681998428,7056.669281356984,7310.174307861067
2024-11-21,7182.512785650157,7063.55111753042,7309.473773564758
2024-11-22,7194.052246220565,7069.603880094776,7325.976413287426
2024-11-25,7178.346986424185,7053.275394166599,7293.875575189547
2024-11-26,7200.279397411757,7077.173739060496,7325.644160463403
2024-11-27,7213.12046808439,7090.148918374925,7340.314833619577
2024-11-29,7227.45196742551,7098.388142545449,7353.529663822901
2024-12-02,7211.746707629067,7085.631008066758,7339.318851220392
2024-12-03,7233.679118616712,7116.800579994724,7365.042566724395
2024-12-04,7246.52018928941,7125.352401677539,7375.316028946475
2024-12-05,7249.312228060052,7120.050879840362,7365.763245180638
2024-12-06,7260.851688630454,7136.089696989588,7383.912654926014
2024-12-09,7245.146428834009,7122.59831205371,7375.68118622258
2024-12-10,7267.0788398216655,7143.41467382744,7392.809657125279
2024-12-11,7279.919910494344,7158.951950809002,7404.610896585247
