Date,USD_INR,Gold_USD_per_ounce,Gold_INR_per_gram
2024-04-08,83.29679870605469,2331.699951171875,6851.025290593528
2024-04-09,83.26959991455078,2343.5,6883.447940871964
2024-04-10,83.22429656982422,2329.60009765625,6838.8976672052495
2024-04-11,83.4126968383789,2354.800048828125,6928.52510936349
2024-04-12,83.34929656982422,2356.199951171875,6927.374680612707
2024-04-15,83.61109924316406,2365.800048828125,6977.447315545274
2024-04-16,83.50599670410156,2390.800048828125,7042.316125420458
2024-04-17,83.6675033569336,2371.699951171875,6999.566610568514
2024-04-18,83.5958023071289,2382.300048828125,7024.825267397996
2024-04-19,83.54499816894531,2398.39990234375,7068.001744288514
2024-04-22,83.38529968261719,2332.199951171875,6859.7750171344105
2024-04-23,83.38619995117188,2327.699951171875,6846.612940431083
2024-04-24,83.2833023071289,2324.5,6828.76368940973
2024-04-25,83.3405990600586,2329.800048828125,6849.042549586049
2024-04-26,83.30180358886719,2334.800048828125,6860.546220806646
2024-04-29,83.40229797363281,2345.39990234375,6900.0067557665125
2024-04-30,83.45110321044922,2291.39990234375,6745.08720601427
2024-05-01,83.49839782714844,2299.89990234375,6773.945113970909
2024-05-02,83.40640258789062,2299.199951171875,6764.422538580923
2024-05-03,83.40630340576172,2299.0,6763.826223737498
2024-05-06,83.37999725341797,2321.60009765625,6828.163098682976
2024-05-07,83.4728012084961,2315.199951171875,6816.918297750923
2024-05-08,83.46990203857422,2313.60009765625,6811.971057965853
2024-05-09,83.46430206298828,2332.10009765625,6865.980246279678
2024-05-10,83.45939636230469,2367.300048828125,6969.203445692155
2024-05-13,83.5248031616211,2336.10009765625,6882.742229054555
2024-05-14,83.50550079345703,2353.39990234375,6932.109469743302
2024-05-15,83.52420043945312,2388.699951171875,7037.6639274552135
2024-05-16,83.40509796142578,2380.0,7002.032951134706
2024-05-17,83.47010040283203,2412.199951171875,7102.297116916451
2024-05-20,83.30039978027344,2433.89990234375,7151.619425048162
2024-05-21,83.31500244140625,2421.699951171875,7117.0192541045935
2024-05-22,83.31680297851562,2389.199951171875,7021.6582870268
2024-05-23,83.26709747314453,2335.0,6858.275193558704
2024-05-24,83.2863998413086,2332.5,6852.52041940254
2024-05-28,83.14569854736328,2355.199951171875,6907.520244057266
2024-05-29,83.20649719238281,2340.300048828125,6868.839642397599
2024-05-30,83.3656005859375,2342.89990234375,6889.61912808413
2024-05-31,83.3208999633789,2322.89990234375,6827.143702291971
2024-06-03,83.45079803466797,2346.60009765625,6907.552190255344
2024-06-04,83.09339904785156,2325.5,6816.123723020823
2024-06-05,83.62940216064453,2354.10009765625,6944.460529931996
2024-06-06,83.38079833984375,2370.300048828125,6971.4637075172295
2024-06-07,83.47309875488281,2305.199951171875,6787.498304164834
2024-06-10,83.52760314941406,2307.699951171875,6799.296132538725
2024-06-11,83.52980041503906,2307.5,6798.885851874024
2024-06-12,83.5968017578125,2336.0,6888.380003395122
2024-06-13,83.5343017578125,2300.199951171875,6777.741999841161
2024-06-14,83.52210235595703,2331.39990234375,6868.67215563671
2024-06-17,83.55180358886719,2312.39990234375,6815.117813701852
2024-06-18,83.51010131835938,2330.39990234375,6864.739482425488
2024-06-20,83.41950225830078,2353.800048828125,6926.147850537268
2024-06-21,83.60160064697266,2316.39990234375,6830.975487201843
2024-06-24,83.5625,2330.0,6867.868040000706
2024-06-25,83.46040344238281,2316.60009765625,6820.027822891199
2024-06-26,83.41459655761719,2299.199951171875,6765.087085567474
2024-06-27,83.58039855957031,2324.5,6853.123915826423
2024-06-28,83.45089721679688,2327.699951171875,6851.925056060504
2024-07-01,83.36750030517578,2327.60009765625,6844.783923938151
2024-07-02,83.44129943847656,2323.0,6837.303606609677
2024-07-03,83.4791030883789,2359.800048828125,6948.764230201049
2024-07-05,83.49340057373047,2388.5,7034.479876906303
2024-07-08,83.47209930419922,2355.199951171875,6934.636738054071
2024-07-09,83.45760345458984,2360.10009765625,6947.857918599414
2024-07-10,83.49299621582031,2372.199951171875,6986.440027032663
2024-07-11,83.49590301513672,2415.0,7112.739405688114
2024-07-12,83.51850128173828,2414.0,7111.718446325904
2024-07-15,83.52030181884766,2422.89990234375,7138.091716630153
2024-07-16,83.58760070800781,2462.39990234375,7260.307935608981
2024-07-17,83.52960205078125,2454.800048828125,7232.87787060977
2024-07-18,83.57209777832031,2451.800048828125,7227.713836700986
2024-07-19,83.67430114746094,2395.5,7070.38178446684
2024-07-22,83.73030090332031,2392.0,7064.776442644215
2024-07-23,83.67130279541016,2404.60009765625,7096.986644310091
2024-07-24,83.70680236816406,2413.300048828125,7125.685823112808
2024-07-25,83.74299621582031,2351.89990234375,6947.393944230439
2024-07-26,83.73760223388672,2380.0,7029.947382375364
2024-07-29,83.72779846191406,2377.300048828125,7021.150262677638
2024-07-30,83.75050354003906,2405.0,7104.885836215593
2024-07-31,83.73899841308594,2426.5,7167.416696920688
2024-08-01,83.7177963256836,2435.0,7190.702977232035
2024-08-02,83.743896484375,2425.699951171875,7165.472604916877
2024-08-05,83.73529815673828,2401.699951171875,7093.848621471304
2024-08-06,84.00260162353516,2389.10009765625,7079.159200062326
2024-08-07,83.93489837646484,2390.5,7077.598355136394
2024-08-08,83.94239807128906,2422.199951171875,7172.093776240374
2024-08-09,83.98899841308594,2432.10009765625,7205.4057829068215
2024-08-12,83.94979858398438,2462.39990234375,7291.767961868132
2024-08-13,83.88999938964844,2466.699951171875,7299.298308550572
2024-08-14,83.88200378417969,2439.39990234375,7217.825776099261
2024-08-15,83.97149658203125,2453.10009765625,7266.106508605878
