Date,USD_INR,Gold_USD_per_ounce,Gold_INR_per_gram_22K
2024-04-08,83.29679870605469,2331.699951171875,6259.781808015306
2024-04-09,83.26959991455078,2343.5,6289.406383574714
2024-04-10,83.22429656982422,2329.60009765625,6248.700798525436
2024-04-11,83.4126968383789,2354.800048828125,6330.5933924254205
2024-04-12,83.34929656982422,2356.199951171875,6329.542245675831
2024-04-15,83.61109924316406,2365.800048828125,6375.293612213717
2024-04-16,83.50599670410156,2390.800048828125,6434.564243796672
2024-04-17,83.6675033569336,2371.699951171875,6395.504012076451
2024-04-18,83.5958023071289,2382.300048828125,6418.582846821549
2024-04-19,83.54499816894531,2398.39990234375,6458.033193756414
2024-04-22,83.38529968261719,2332.199951171875,6267.776433155711
2024-04-23,83.38619995117188,2327.699951171875,6255.7502436718805
2024-04-24,83.2833023071289,2324.5,6239.44138301367
2024-04-25,83.3405990600586,2329.800048828125,6257.970177556773
2024-04-26,83.30180358886719,2334.800048828125,6268.481081951032
2024-04-29,83.40229797363281,2345.39990234375,6304.536172743862
2024-04-30,83.45110321044922,2291.39990234375,6162.986180135238
2024-05-01,83.49839782714844,2299.89990234375,6189.353650635219
2024-05-02,83.40640258789062,2299.199951171875,6180.652873501389
2024-05-03,83.40630340576172,2299.0,6180.108020628952
2024-05-06,83.37999725341797,2321.60009765625,6238.8926232666345
2024-05-07,83.4728012084961,2315.199951171875,6228.618248655018
2024-05-08,83.46990203857422,2313.60009765625,6224.097955663399
2024-05-09,83.46430206298828,2332.10009765625,6273.4461510257415
2024-05-10,83.45939636230469,2367.300048828125,6367.761188328921
2024-05-13,83.5248031616211,2336.10009765625,6288.761574687146
2024-05-14,83.50550079345703,2353.39990234375,6333.868422504454
2024-05-15,83.52420043945312,2388.699951171875,6430.3135305158285
2024-05-16,83.40509796142578,2380.0,6397.757507451781
2024-05-17,83.47010040283203,2412.199951171875,6489.368875726561
2024-05-20,83.30039978027344,2433.89990234375,6534.434668666506
2024-05-21,83.31500244140625,2421.699951171875,6502.820492475367
2024-05-22,83.31680297851562,2389.199951171875,6415.689176856387
2024-05-23,83.26709747314453,2335.0,6266.406044354588
2024-05-24,83.2863998413086,2332.5,6261.1479072081
2024-05-28,83.14569854736328,2355.199951171875,6311.401246995123
2024-05-29,83.20649719238281,2340.300048828125,6276.058781258686
2024-05-30,83.3656005859375,2342.89990234375,6295.044997330469
2024-05-31,83.3208999633789,2322.89990234375,6237.961200784173
2024-06-03,83.45079803466797,2346.60009765625,6311.430436236307
2024-06-04,83.09339904785156,2325.5,6227.892245724125
2024-06-05,83.62940216064453,2354.10009765625,6345.153586198864
2024-06-06,83.38079833984375,2370.300048828125,6369.826389558492
2024-06-07,83.47309875488281,2305.199951171875,6201.737200515408
2024-06-10,83.52760314941406,2307.699951171875,6212.516876300633
2024-06-11,83.52980041503906,2307.5,6212.142002857296
2024-06-12,83.5968017578125,2336.0,6293.912809102123
2024-06-13,83.5343017578125,2300.199951171875,6192.822865254868
2024-06-14,83.52210235595703,2331.39990234375,6275.905748605262
2024-06-17,83.55180358886719,2312.39990234375,6226.973146379382
2024-06-18,83.51010131835938,2330.39990234375,6272.312465092168
2024-06-20,83.41950225830078,2353.800048828125,6328.421291035901
2024-06-21,83.60160064697266,2316.39990234375,6241.462302656324
2024-06-24,83.5625,2330.0,6275.171028148645
2024-06-25,83.46040344238281,2316.60009765625,6231.4594217756885
2024-06-26,83.41459655761719,2299.199951171875,6181.260070083001
2024-06-27,83.58039855957031,2324.5,6261.699321890603
2024-06-28,83.45089721679688,2327.699951171875,6260.603923722482
2024-07-01,83.36750030517578,2327.60009765625,6254.079071302288
2024-07-02,83.44129943847656,2323.0,6247.244305359262
2024-07-03,83.4791030883789,2359.800048828125,6349.085877134698
2024-07-05,83.49340057373047,2388.5,6427.404263529288
2024-07-08,83.47209930419922,2355.199951171875,6336.177587560005
2024-07-09,83.45760345458984,2360.10009765625,6348.257780224284
2024-07-10,83.49299621582031,2372.199951171875,6383.510252699744
2024-07-11,83.49590301513672,2415.0,6498.909994977229
2024-07-12,83.51850128173828,2414.0,6497.977144407978
2024-07-15,83.52030181884766,2422.89990234375,6522.074401484971
2024-07-16,83.58760070800781,2462.39990234375,6633.743360765926
2024-07-17,83.52960205078125,2454.800048828125,6608.680510376146
2024-07-18,83.57209777832031,2451.800048828125,6603.9621325936905
2024-07-19,83.67430114746094,2395.5,6460.207836467352
2024-07-22,83.73030090332031,2392.0,6455.086235644019
2024-07-23,83.67130279541016,2404.60009765625,6484.51669690613
2024-07-24,83.70680236816406,2413.300048828125,6510.739136578172
2024-07-25,83.74299621582031,2351.89990234375,6347.833846843352
2024-07-26,83.73760223388672,2380.0,6423.26292327637
2024-07-29,83.72779846191406,2377.300048828125,6415.224995008558
2024-07-30,83.75050354003906,2405.0,6491.734188550187
2024-07-31,83.73899841308594,2426.5,6548.868635976432
2024-08-01,83.7177963256836,2435.0,6570.14531029691
2024-08-02,83.743896484375,2425.699951171875,6547.09231911255
2024-08-05,83.73529815673828,2401.699951171875,6481.64948543833
2024-08-06,84.00260162353516,2389.10009765625,6468.227761096947
2024-08-07,83.93489837646484,2390.5,6466.801617088123
2024-08-08,83.94239807128906,2422.199951171875,6553.142083350829
2024-08-09,83.98899841308594,2432.10009765625,6583.5792638419625
2024-08-12,83.94979858398438,2462.39990234375,6662.488386758912
2024-08-13,83.88999938964844,2466.699951171875,6669.3688645226575
2024-08-14,83.88200378417969,2439.39990234375,6594.927411621895
2024-08-15,83.97149658203125,2453.10009765625,6639.04151691319
